"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ABDALA DE MATARAZZO, Norma Amanda","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"ACERENZA, Samanta María Celeste","PRO","Buenos Aires","AUSENTE"
"AICEGA, Juan","PRO","Buenos Aires","AFIRMATIVO"
"ALLENDE, Walberto Enrique","Todos Juntos por San Juan","San Juan","AFIRMATIVO"
"ALONSO, Laura Valeria","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"ALUME SBODIO, Karim Augusto","Unidad Justicialista","San Luis","AFIRMATIVO"
"ÁLVAREZ RODRIGUEZ, María Cristina","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"AMADEO, Eduardo Pablo","PRO","Buenos Aires","AFIRMATIVO"
"ANSALONI, Pablo Miguel","PRO","Buenos Aires","AFIRMATIVO"
"ARCE, Mario Horacio","Unión Cívica Radical","Formosa","AFIRMATIVO"
"ARROYO, Daniel Fernando","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"AUSTIN, Brenda Lis","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"ÁVILA, Beatriz Luisa","Partido por la Justicia Social","Tucumán","AFIRMATIVO"
"AYALA, Aida Beatriz Máxima","Unión Cívica Radical","Chaco","AFIRMATIVO"
"BAHILLO, Juanjo","Justicialista","Entre Ríos","AFIRMATIVO"
"BALBO, Elva Susana","PRO","Mendoza","AFIRMATIVO"
"BALDASSI, Héctor Walter","PRO","Córdoba","AFIRMATIVO"
"BANFI, Karina Verónica","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"BASTERRA, Luis Eugenio","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"BAZZE, Miguel Ángel","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"BENEDETTI, Atilio Francisco Salvador","Unión Cívica Radical","Entre Ríos","AFIRMATIVO"
"BERISSO, Hernán","PRO","Buenos Aires","AFIRMATIVO"
"BEVILACQUA, Gustavo","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"BIANCHI, Ivana María","Unidad Justicialista","San Luis","AFIRMATIVO"
"BORSANI, Luis Gustavo","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"BOSSIO, Diego Luis","Justicialista","Buenos Aires","AUSENTE"
"BRAMBILLA, Sofía","PRO","Corrientes","AFIRMATIVO"
"BRITEZ, María Cristina","Frente para la Victoria - PJ","Misiones","AUSENTE"
"BRIZUELA DEL MORAL, Eduardo Segundo","Fte. Cívico y Social de Catamarca","Catamarca","AFIRMATIVO"
"BRÜGGE, Juan Fernando","Córdoba Federal","Córdoba","AFIRMATIVO"
"BUCCA, Eduardo","Justicialista","Buenos Aires","AUSENTE"
"BUIL, Sergio Omar","PRO","Buenos Aires","AFIRMATIVO"
"BURGOS, María Gabriela","Unión Cívica Radical","Jujuy","AFIRMATIVO"
"CABANDIÉ, Juan","Frente para la Victoria - PJ","C.A.B.A.","AUSENTE"
"CÁCERES, Eduardo Augusto","PRO","San Juan","AFIRMATIVO"
"CAMAÑO, Graciela","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"CAMPAGNOLI, Marcela","Coalición Cívica","Buenos Aires","AFIRMATIVO"
"CAMPOS, Javier","Coalición Cívica","Buenos Aires","AFIRMATIVO"
"CANO, José Manuel","Unión Cívica Radical","Tucumán","AFIRMATIVO"
"CANTARD, Albor Angel","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"CARAMBIA, Antonio José","PRO","Santa Cruz","AFIRMATIVO"
"CARMONA, Guillermo Ramón","Frente para la Victoria - PJ","Mendoza","AFIRMATIVO"
"CAROL, Analuz Ailén","Frente para la Victoria - PJ","Tierra del Fuego","AFIRMATIVO"
"CARRIÓ, Elisa María Avelina","Coalición Cívica","C.A.B.A.","AUSENTE"
"CARRIZO, Ana Carla","Evolución Radical","C.A.B.A.","AFIRMATIVO"
"CARRIZO, Soledad","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"CARRO, Pablo","Frente para la Victoria - PJ","Córdoba","AFIRMATIVO"
"CASELLES, Graciela María","Partido Bloquista de San Juan","San Juan","AFIRMATIVO"
"CASSINERIO, Paulo Leonardo","Córdoba Federal","Córdoba","AFIRMATIVO"
"CASTAGNETO, Carlos Daniel","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"CASTRO, Sandra Daniela","Frente para la Victoria - PJ","San Juan","AFIRMATIVO"
"CERRUTI, Gabriela","Frente para la Victoria - PJ","C.A.B.A.","AUSENTE"
"CIAMPINI, José Alberto","Frente para la Victoria - PJ","Neuquén","AFIRMATIVO"
"CLERI, Marcos","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"CONTIGIANI, Luis Gustavo","Partido Socialista","Santa Fe","AFIRMATIVO"
"CORREA, Walter","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"CRESTO, Mayda","Justicialista","Entre Ríos","AFIRMATIVO"
"DAVID, Javier","Justicialista","Salta","AFIRMATIVO"
"DE MENDIGUREN, José Ignacio","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"DE PEDRO, Eduardo Enrique","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"DE PONTI, Lucila María","Peronismo para la Victoria","Santa Fe","AFIRMATIVO"
"DE VIDO, Julio (Suspendido Art 70 C.N.)","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"DEL CAÑO, Nicolás","PTS - Frente de Izquierda","Buenos Aires","AUSENTE"
"Del CERRO, Gonzalo Pedro Antonio","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"Del PLÁ, Romina","Fte. de Izquierda y de los Trabajadores","Buenos Aires","ABSTENCION"
"DELÚ, Melina Aida","Justicialista","La Pampa","AFIRMATIVO"
"DERNA, Verónica","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"DI STÉFANO, Daniel","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"DINDART, Julián","Unión Cívica Radical","Corrientes","AFIRMATIVO"
"DONDA PÉREZ, Victoria Analía","Libres del Sur","C.A.B.A.","AUSENTE"
"DOÑATE, Claudio Martín","Frente para la Victoria - PJ","Rio Negro","AFIRMATIVO"
"ECHEGARAY, Alejandro Carlos Augusto","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"ENRIQUEZ, Jorge Ricardo","PRO","C.A.B.A.","AFIRMATIVO"
"ESPINOZA, Fernando","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"ESTEVEZ, Gabriela Beatriz","Frente para la Victoria - PJ","Córdoba","AFIRMATIVO"
"FELIX, Omar","Somos Mendoza","Mendoza","AFIRMATIVO"
"FERNANDEZ LANGAN, Ezequiel","PRO","Buenos Aires","AFIRMATIVO"
"FERNANDEZ PATRI, Gustavo Ramiro","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"FERNANDEZ, Carlos Alberto","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"FERREYRA, Araceli Susana Del Rosario","Peronismo para la Victoria","Corrientes","AUSENTE"
"FILMUS, Daniel","Frente para la Victoria - PJ","C.A.B.A.","AUSENTE"
