"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ABDALA DE MATARAZZO, Norma Amanda","Frente Cívico por Santiago","Santiago del Estero","AUSENTE"
"ACERENZA, Samanta María Celeste","PRO","Buenos Aires","NEGATIVO"
"AICEGA, Juan","PRO","Buenos Aires","NEGATIVO"
"ALLENDE, Walberto Enrique","Todos Juntos por San Juan","San Juan","NEGATIVO"
"ALONSO, Laura Valeria","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"ALUME SBODIO, Karim Augusto","Unidad Justicialista","San Luis","AFIRMATIVO"
"ÁLVAREZ RODRIGUEZ, María Cristina","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"AMADEO, Eduardo Pablo","PRO","Buenos Aires","NEGATIVO"
"ANSALONI, Pablo Miguel","PRO","Buenos Aires","AUSENTE"
"ARCE, Mario Horacio","Unión Cívica Radical","Formosa","NEGATIVO"
"ARROYO, Daniel Fernando","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"ASENCIO, Fernando","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"AUSTIN, Brenda Lis","Unión Cívica Radical","Córdoba","NEGATIVO"
"ÁVILA, Beatriz Luisa","Partido por la Justicia Social","Tucumán","NEGATIVO"
"AYALA, Aida Beatriz Máxima","Unión Cívica Radical","Chaco","NEGATIVO"
"BAHILLO, Juanjo","Justicialista","Entre Ríos","NEGATIVO"
"BALDASSI, Héctor Walter","PRO","Córdoba","NEGATIVO"
"BANFI, Karina Verónica","Unión Cívica Radical","Buenos Aires","NEGATIVO"
"BASTERRA, Luis Eugenio","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"BAZZE, Miguel Ángel","Unión Cívica Radical","Buenos Aires","NEGATIVO"
"BENEDETTI, Atilio Francisco Salvador","Unión Cívica Radical","Entre Ríos","NEGATIVO"
"BERISSO, Hernán","PRO","Buenos Aires","NEGATIVO"
"BEVILACQUA, Gustavo","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"BIANCHI, Ivana María","Unidad Justicialista","San Luis","AFIRMATIVO"
"BORSANI, Luis Gustavo","Unión Cívica Radical","Mendoza","NEGATIVO"
"BOSSIO, Diego Luis","Justicialista","Buenos Aires","NEGATIVO"
"BRAGAGNOLO, Sebastián","PRO","Mendoza","NEGATIVO"
"BRAMBILLA, Sofía","PRO","Corrientes","NEGATIVO"
"BRITEZ, María Cristina","Frente para la Victoria - PJ","Misiones","AFIRMATIVO"
"BRIZUELA DEL MORAL, Eduardo Segundo","Fte. Cívico y Social de Catamarca","Catamarca","AUSENTE"
"BRÜGGE, Juan Fernando","Córdoba Federal","Córdoba","NEGATIVO"
"BUCCA, Eduardo","Justicialista","Buenos Aires","ABSTENCION"
"BUIL, Sergio Omar","PRO","Buenos Aires","NEGATIVO"
"BURGOS, María Gabriela","Unión Cívica Radical","Jujuy","NEGATIVO"
"CABANDIÉ, Juan","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"CÁCERES, Eduardo Augusto","PRO","San Juan","NEGATIVO"
"CAMAÑO, Graciela","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"CAMPAGNOLI, Marcela","Coalición Cívica","Buenos Aires","NEGATIVO"
"CAMPOS, Javier","Coalición Cívica","Buenos Aires","NEGATIVO"
"CANO, José Manuel","Unión Cívica Radical","Tucumán","NEGATIVO"
"CANTARD, Albor Angel","Unión Cívica Radical","Santa Fe","NEGATIVO"
"CARAMBIA, Antonio José","PRO","Santa Cruz","AUSENTE"
"CARMONA, Guillermo Ramón","Frente para la Victoria - PJ","Mendoza","AFIRMATIVO"
"CAROL, Analuz Ailén","Frente para la Victoria - PJ","Tierra del Fuego","AFIRMATIVO"
"CARRIÓ, Elisa María Avelina","Coalición Cívica","C.A.B.A.","NEGATIVO"
"CARRIZO, Ana Carla","Evolución Radical","C.A.B.A.","AUSENTE"
"CARRIZO, Soledad","Unión Cívica Radical","Córdoba","AUSENTE"
"CARRO, Pablo","Frente para la Victoria - PJ","Córdoba","AFIRMATIVO"
"CASELLES, Graciela María","Partido Bloquista de San Juan","San Juan","NEGATIVO"
"CASSINERIO, Paulo Leonardo","Córdoba Federal","Córdoba","NEGATIVO"
"CASTAGNETO, Carlos Daniel","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"CASTRO, Sandra Daniela","Frente para la Victoria - PJ","San Juan","AFIRMATIVO"
"CERRUTI, Gabriela","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"CIAMPINI, José Alberto","Frente para la Victoria - PJ","Neuquén","AFIRMATIVO"
"CLERI, Marcos","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"CONTIGIANI, Luis Gustavo","Frente Progresista Cívico y Social","Santa Fe","AFIRMATIVO"
